Title,Author,Price,Year,Rating
Fundamentals of Data Engineering: Plan and Build Robust Data Systems,Joe Reis,£38.00,5 Jul 2022,4.7 out of 5 stars
"Data: Principles To Practice - Volume 1 'Foundations': Essential Foundations: Key Concepts behind Data Architecture, Engineering and Analysis for Professionals",Mr Alex Holloway,£14.99,3 Jul 2024,4.7 out of 5 stars
"Ultimate Data Engineering with Databricks: Develop Scalable Data Pipelines Using Data Engineering's Core Tenets Such as Delta Tables, Ingestion, ... Security, and Scalability (English Edition)",Mayank Malhotra,£29.56,15 Feb 2024,4.2 out of 5 stars
Engineers′ Data Book,Clifford Matthews,£15.59,27 Jan 2012,4.6 out of 5 stars
Data Engineering Best Practices: Architect robust and cost-effective data solutions in the cloud era,Richard J. Schiller,£37.99,11 Oct 2024,5.0 out of 5 stars
"Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,£28.75,2 Apr 2017,4.7 out of 5 stars
Data Analytics Essentials You Always Wanted To Know (Self-Learning Management Series),Vibrant Publishers,£19.87,19 Feb 2024,4.4 out of 5 stars
Data and Analytics Strategy for Business: Unlock Data Assets and Increase Innovation with a Results-Driven Data Strategy,Simon Asplen-Taylor,£25.99,3 Jun 2022,4.7 out of 5 stars
"Data Engineering with Databricks Cookbook: Build effective data and AI solutions using Apache Spark, Databricks, and Delta Lake",Pulkit Chadha,£37.99,31 May 2024,4.9 out of 5 stars
An Engineering Data Book,Paperback,£24.99,15 Jul 2008,4.1 out of 5 stars
Data Pipelines Pocket Reference: Moving and Processing Data for Analytics,James Densmore,£17.58,31 Mar 2021,4.5 out of 5 stars
Data Engineering with Python cookbook: Learn to build efficient data pipelines using the Modern Cloud Data Stack,Adithyan Ramanujakootam,£32.39,3 Oct 2023,5.0 out of 5 stars
"Ultimate Azure Data Engineering: Build Robust Data Engineering Systems on Azure with SQL, ETL, Data Modeling, and Power BI for Business Insights and Crack Azure Certifications (English Edition)",Ashish Agarwal,£30.99,22 Jul 2024,4.5 out of 5 stars
"Data Engineering with dbt: A practical guide to building a cloud-based, pragmatic, and dependable data platform with SQL",Roberto Zagni,£37.99,30 Jun 2023,4.7 out of 5 stars
Financial Data Engineering: Design and Build Data-Driven Financial Products,Tamer Khraisha,£39.33,31 Oct 2024,5.0 out of 5 stars
Data Engineering with AWS: Acquire the skills to design and build AWS-based data transformation pipelines like a pro,Gareth Eagar,£5.00,31 Oct 2023,4.3 out of 5 stars
Data Engineering with Python: Work with massive datasets to design data models and automate data pipelines using Python,Paul  Crickard III,£20.79,23 Oct 2020,4.1 out of 5 stars
"Data Analytics for Absolute Beginners: A Deconstructed Guide to Data Literacy: (Introduction to Data, Data Visualization, Business Intelligence & ... Data Science & Python Books for Beginners)",Oliver Theobald,£11.79,21 Jul 2019,4.3 out of 5 stars
"Ultimate Azure Data Engineering: Build Robust Data Engineering Systems on Azure with SQL, ETL, Data Modeling, and Power BI for Business Insights and Crack Azure Certifications (English Edition)",Ashish Agarwal,£18.46,23 Jul 2024,4.5 out of 5 stars
"Mastering Data Engineering and Analytics with Databricks: A Hands-on Guide to Build Scalable Pipelines Using Databricks, Delta Lake, and MLflow (English Edition)",Manoj Kumar,£33.99,3 Oct 2024,4.2 out of 5 stars
Metalworker's Data Book: No. 42 (Workshop Practice),Harold Hall,£7.95,19 Mar 2009,4.6 out of 5 stars
"Zeus Precision Data Charts and Reference Tables for Drawing Office, Toolroom & Workshop",Paperback,£9.68,1 Jan 2007,4.8 out of 5 stars
